,tweet
2556, काँग्रेस पक्षाच्या नेत्या व मंत्रिमंडळातील आमच्या सहकारी प्रा वर्षाताई गायकवाड यांना वाढदिवसाच्या हार्दिक शुभेच्छा त्यांना सुख समृद्धी यश आणि उदंड निरोगी आयुष्य लाभो हीच प्रार्थना 
2557, भारताचे पहिले राष्ट्रपती भारतरत्न डॉ राजेंद्र प्रसाद यांच्या जयंतीनिमित्त विनम्र अभिवादन 
2558, कवी कथा पटकथा संवादलेखक अभिनेते आदी अनेक कलाप्रांतांत एकाच वेळी लीलया संचार केलेल्या ग दि माडगूळकर तथा गदिमा यांना जयंतीदिनी विनम्र अभिवादन 
2559, कोल्हापूर येथे वीरशैव लिंगायत समाजातर्फे आयोजित शिव बसव जयंती उत्सवात सहभागी होऊन छत्रपती शिवाजी महाराज व महात्मा बसवेश्वर महाराजांना वंदन केले यावेळी महात्मा बसवेश्वरांच्या कार्यावरील संत साहित्याचे अभ्यासक शिवाजीराव भुकेले यांच्या व्याख्यानाचा आस्वाद घेतला 
2560, लोकशाहीर अण्णाभाऊ साठे यांच्या जन्मशताब्दीनिमित्त राज्यस्तरीय शाहीर पोवाडा स्पर्धा दि सप्टेंबर रोजी नांदेड येथे अभियानांतर्गत होणार आहे पोवाड्यांच्या माध्यमातून उद्याच्या महाराष्ट्राचे वर्णन करण्याची सुवर्णसंधी 
2561, परमपूज्य बाबासाहेब आंबेडकर यांना दादर चैत्यभूमी येथे आदरांजली अर्पण केली 
2562, लाल डबा महाराष्ट्राच्या अस्मितेचे प्रगतीचे प्रतिक आहे दुर्गम भागातील माणसेच नव्हे तर त्यांच्या आशा अपेक्षांनाही मुख्य प्रवाहात आणून सोडणारी एस टी अशाच एस टीतून गरीबीला कंटाळून वडील मुंबईला पळून आले माझ्यासारख्या अनेकांच्या भावना जुडलेल्या एसटीच्या वर्धापनदिनानिमित्त शुभेच्छा 
2563, माजी आ धोंडिराम राठोड यांच्या अमृतमहोत्सवी सोहळ्यानिमित्त आयोजित कार्यकर्ता मेळाव्याला उपस्थित राहून त्यांना शुभेच्छा दिल्या व कार्यकर्त्यांशी संवाद साधला यावेळी मंत्री अमित देशमुख माजी आ सुरेश जेथलिया आदी उपस्थित होते 
2564, युवा नेते ज्योतिरादित्य सिंदीया यांनी काँग्रेस सोडण्याचा घेतलेला निर्णय स्वागतार्ह आहे त्यांनी मध्यप्रदेशात केलेला राजकीय भूकंप महाराष्ट्र राजस्थान छत्तीसगड येथे ही होण्याची चिन्हे आहेत 
2565, गरीबी पे होगा वार उत्तर पूर्व दिल्ली लोकसभा निर्वाचन क्षेत्र शिला दिक्षित विकास निश्चित 
2566, लाळेची चाचणी करणे ही अतिशय सोपी पद्धत असून नमुना घेण्यासाठी वैयक्तिक आरोग्य सेवकाची उपस्थिती आवश्यक नसल्याने नमूना घेणे व रोगनिदान करणे प्रक्रिया वेगवान होते याकडे लक्ष वेधले होते तसेच ने या चाचणी पद्धतीला मान्यता दिली असल्याचेही निदर्शनास आणून दिले 
2567, लोकशाहीर साहित्यरत्न अण्णाभाऊ साठे यांच्या जन्मशताब्दीनिमित्त चेंबूर मुंबई येथे त्यांना विनम्र अभिवादन केले यावेळी सा बां मंत्री अध्यक्ष एकनाथ गायकवाड शिक्षणमंत्री प्रदेश सरचिटणीस उपस्थित होते 
2568, महाराष्ट्र विधानसभा निवडणुकीचा महत्त्वाचा टप्पा आता संपला आहे निवडणुकीपूर्वी देशात राष्ट्रवादी काँग्रेसबद्दल एक चुकीचं वातावरण निर्माण करण्यात आलं पण एकदा आपण ठामपणे ठरवलं तर प्रत्येक कार्यकर्ता ठामपणे उभा राहतो हे या निवडणुकीने दाखवलं 
2569, निर्धार परिवर्तनाचा सज्ज व्हा परिवर्तनासाठी साद राष्ट्रवादीची साथ महाराष्ट्राची परिवर्तनयात्रा परिवर्तनपर्व चलोरायगड 
2570, शांताबाई शेळके प्रल्हाद पठाडे रंजनाबाई घुगे कोकाटे व्ही टी राठोड छत्रपती गटे आणि इतर सरपंचांनी सुद्धा संवाद साधला बहुतेकांनी पाणीपुरवठा योजनासंबंधी मागण्या केल्या राज्यात विक्रमी संख्येने या योजना हाती घेण्यात आल्या आहेत त्याला आणखी गती देण्यात येईल 
2571, यावेळी ज्येष्ठ शास्त्रज्ञ डॉ रघुनाथ माशेलकर खा श्रीनिवास पाटील प्रशांत गडाख आणि प्रा मिलिंद जोशी यांना त्यांनी केलेल्या रचनात्मक कार्यासाठी सन्मानित करण्यात आले महाराष्ट्र साहित्य कला प्रसारणी सभेने पुरस्कारार्थींची सार्थ निवड केली 
2572, आज पालघरचे शिवसेना आमदार अमित घोडा यांनी माझ्या उपस्थितीत मध्ये प्रवेश केला यावेळी पक्षाचे मुंबई अध्यक्ष हे देखील उपस्थित होते लोकहितवादी विचारांवर चालणाऱ्या या पक्षात त्यांचं स्वागत आहे त्यांना पुढच्या राजकीय वाटचालीसाठी शुभेच्छा 
2573, प्रजाहितदक्ष सर्वसमावेशक सहिष्णू राजे छत्रपती शिवाजी महाराज यांच्या स्मृतीस विनम्र अभिवादन 
2574, महाराष्ट्र प्रदेश काॅंग्रेसचे कार्याध्यक्ष व प्रदेश युवक काॅंग्रेसचे माजी अध्यक्ष मुझफ्फर भाई हुसेन यांना वाढदिवसाच्या खूप खूप शुभेच्छा 
2575, महाराष्ट्राच्या नव्या पिढीतील मुलांना छत्रपती शिवाजी महाराजांचे कर्तृत्व समजावे म्हणून इयत्ता चौथीच्या शालेय अभ्यासक्रमात छत्रपती शिवाजी महाराजांचा इतिहास शिकवला जातो महाराजांच्या चरित्रामधून नव्या पिढीमध्ये जिद्द निर्माण करण्याची भूमिका पूर्वीच्या सरकारची होती 
2576, श्री भ शीतलनाथ दिगंबर जैन मंदीर डॉ जे जे मगदुम हौ सोसाईटी जयसिंगपुर यांचेकडून दुष्काळ ग्रस्तांसाठी मदत 
2577, नाथऱ्यात बालपणातील अनेक आठवणी आहेत आज लोकांसमवेत गप्पा मारण्यात व जुन्या आठवांणींना उजाळा देण्यात रमलो इथल्या लोकांनी मला व माझ्या परिवाराला कायम प्रेम व राजकीय बळ दिलेले आहे नाथरा माझं कुटुंब आहे या कुटुंबाला सुखी ठेवण्यातच माझे खरे सुख आहे 
2578, पुणे जिल्ह्यातल्या बारामती तालुक्यातील जागृत देवस्थान बिरोबा मंदिराचे दर्शन घेतले यावेळी स्थानिकांशी संवाद साधला 
2579, ची निवडणूक सर्वार्थाने वेगळी व्या शतकात जन्माला आलेला नावमतदार यावेळी मतदानाचा हक्क बजावणार आहे त्याचे भविष्य सुरक्षित करायचे असेल तर काँग्रेसशिवाय पर्याय नाही 
2580, अहमदनगर जिल्ह्यातील राहुरी तालुक्यातल्या महात्मा फुले कृषी विद्यापीठात कृषी विभागाच्या वतीने आयोजित किसान आधार संमेलन संपन्न झाले या संमेलनाला मा पालकमंत्री राम शिंदे मा खासदार दिलीप गांधी आ शिवाजीराव कर्डिले आदी मान्यवर उपस्थित होते 
2581, प्रकल्पबाधित शेतकऱ्यांना लिजवर सिडकोने ज्या जमिनी दिल्या आहेत त्यांची मुदत वर्षांवरून वाढवून वर्षांची करण्याबाबत देखील हे राज्य शासन धोरणात्मक निर्णय घेत आहे 
2582, भारतीय मराठी हिंदी चित्रपटांचा दर्जा उंचावण्यात आणि त्यांचा पाया भक्कम करण्यात महत्त्वाची भूमिका बजावणारे सिनेमा जगताला देशभरात नवसंजीवनी देणारे भारतीय चित्रपट सृष्टीचे जनक दादासाहेब फाळके यांना जयंतीनिमित्त विनम्र अभिवादन 
2583, शेतकऱ्यांचे उत्पादन आणि उत्पन्न वाढविण्यासाठी कृषि क्षेत्रातील नवनवे प्रयोग आणण्याबरोबरच शेतकऱ्यांना सहाय्यभूत होणाऱ्या नवनव्या योजना प्राधान्यक्रमाने राबविण्यावर शासनाचा सर्वाधिक भर आहे 
2584, देशातील खुल्या प्रवर्गातील आर्थिकदृष्ट्या दुर्बल घटकांसाठी केंद्र सरकारने आरक्षण देणारे विधेयक संसदेच्या दोन्ही सभागृहात मंजूर झालं पंतप्रधान यांच्यासह केंद्रीय मंत्रिमंडळाचे हार्दिक अभिनंदन 
2585, मुंबईतील राष्ट्रवादी काँग्रेस पक्षाच्या मुख्यालयात जनता दरबाराचे आयोजन करण्यात आले होते यावेळी जनतेचे प्रश्न तक्रारी ऐकून त्या सोडवण्याबाबत संबंधित अधिकाऱ्यांना दूरध्वनीद्वारे निर्देश दिले 
2586, छत्रपती शिवाजी महाराज हे समस्त महाराष्ट्राची व् देशाची शान व् अस्मिता आहे राज्याच्या जनतेच्या पैशातून 
2587, लंडनमधील संग्रहालय इंदूमिल स्मारक दीक्षाभूमी चैत्यभूमी विकासात योगदान देता आले हे माझ्या आयुष्यातील भाग्याचे क्षण त्यांना विनम्र अभिवादन 
2588, आदर्श शासनकर्ते व समाजसुधारक लोकराजा राजर्षी छत्रपती शाहू महाराज यांची आज पुण्यतिथी मानाचा मुजरा 
2589, मी साडे चार वर्षे विरोधी पक्षनेता म्हणून काम केले त्याने आपल्या भागाची प्रतिष्ठा वाढली यासाठीचं प्रेरणास्थान इथली मायबाप जनता आहे हे सारं वैभव तुमचं आहे या निवडणुकीत परळी विधानसभा मतदारसंघातून आपले लोकसभेचे उमेदवार बजरंग बप्पा यांना प्रचंड मताधिक्य मिळणार याची मला खात्री आहे 
2590, आदिवासी जननायक स्वातंत्र्यसेनानी क्रांतीसूर्य बिरसा मुंडा यांना जयंतीनिमित्त विनम्र अभिवादन 
2591, आणि म्हणूनच महाराष्ट्राचा आमच्यावर विश्वास आहे सामान्य माणसाचा विकास हाच आमचा ध्यास आहे 
2592, सीमोल्लंघन विकासाचे नव पर्व आशेचे अचाट ध्येयशक्तीचे नाते विश्वासाचे सर्वांना विजयादशमीच्या हार्दिक शुभेच्छा शुभ दसरा 
2593, भरकटलेल्या समाजाला दिशा दाखवण्याच्या उद्देशाने दर्पण हे वृत्तपत्र सुरू करणारे मराठी वृत्तपत्रविश्वाचे जनक आचार्य बाळशास्त्री जांभेकर यांना जयंती दिनानिमित्त विनम्र अभिवादन पत्रकार दिनाच्या हार्दिक शुभेच्छा 
2594, न्या धर्माधिकारीजी यांनी दादा धर्माधिकारी यांचा वैचारिक आणि सामाजिक बांधिलकीचा वारसा समर्थपणे सांभाळला गांधीविचारांची नव्या पिढीला ओळख करून देण्यासाठी ते अखेरपर्यंत झटले 
2595, खूप खूप आभार 
2596, वॉटरग्रीड सर्व धरणं पाईपलाईनने जोडणे मराठवाड्याला त्यांच्या हक्काचे पाणी देणे असे अनेक उपाय सरकारने हाती घेतले आहेत समन्यायी वाटपाचे आपले सूत्र आहे शेतीत दीड लाख कोटी रुपयांची गुंतवणूक गेल्या वर्षांत झाली जी पूर्वीच्या वर्षांच्या तुलनेत चौपट आहे 
2597, संत ज्ञानेश्वर यांना जयंतीनिमित्त विनम्र अभिवादन 
2598, राष्ट्रवादी काँग्रेस काँग्रेस व शिवसेना महाविकास आघाडीची सत्ता जिल्हा परिषदेत प्रस्थापित झाली जिल्हा परिषदच्या अध्यक्षपदी शिवकन्या शिवाजी शिरसाठ व उपाध्यक्षपदी बजरंग बप्पा सोनवणे यांची निवड झाल्याबद्दल त्यांचे हार्दिक अभिनंदन बीड जिल्ह्याची वाटचाल प्रगतीपथावर होणार हे निश्चित 
2599, संत शिरोमणी रविदास महाराज जयंतीनिमित्त आयोजित शोभायात्रेत आज त्यांच्या पालखीचे दर्शन घेतले 
2600, थोर क्रांतिकारक शहीद शिवराम राजगुरू यांना जयंतीदिनी विनम्र अभिवादन 
2601, पट्टणकोडोली ता हातकंणगले येथे आंबेडकर स्मारक सरंक्षक भिंत बांधणे लक्ष खटकुळे पाणंद रस्त्यासाठी लाख व शास्त्री चौक परिसर पेव्हींग ब्लाॅक बसविणे लाख या कामाचे उदघाटन करण्यात आले 
2602, या स्पर्धेतील प्रथम क्रमांकाचे पारितोषिक विजेत्या स्पर्धकाला अंदमानच्या सहलीचे बक्षीस जाहीर करुन त्याच्या कलागुणाचा गौरव केला 
2603, पीपल्स रिपब्लिकन पार्टी ऑफ इंडियाचे संस्थापक अध्यक्ष जोगेंद्र कवाडे यांनी माझ्या शासकीय निवासस्थानी भेट दिली यावेळी त्यांनी अशोक स्तंभाची प्रतिकृती भेट देत सामाजिक न्याय व विशेष सहाय्य विभागाच्या पुढील कार्यासाठी शुभेच्छा दिल्या 
2604, शासन निर्णयानुसार कोविडविरुद्धच्या लढ्यात सहभागी असलेले जिल्हा प्रशासन पोलीस होमगार्ड अंगणवाडी कर्मचारी लेखा व कोषागारे अन्न व नागरी पुरवठा पाणी पुरवठा व स्वच्छता घरोघरी सर्वेक्षणासाठी नेमलेले अन्य विभागाचे कर्मचारी अशा सर्वांना विमासंरक्षणाचा लाभ मिळणार आहे 
2605, ची औरंगाबाद येथील सभा अविस्मरणीय ठरली महाराष्ट्रातील युवा क्रांती यात्रेचा अर्ध्याहून अधिक प्रवास पूर्ण झाला युवकांचा प्रतिसाद आणि साथ मात्र वाढतेच आहे 
2606, माझ्या नांदवी केस्तुली गावातील काकांच्या घरातून आंबेतचा अंतुले साहेबांचे गाव घाट दिसत असे त्या वळणा वळणातून गर्द झाडीतूनअत्यंत दुरुन उतरुन येणाऱ्या लाल परिचे मनमोहक दर्शन अजून नजरेसमोर आहे वरुन खाली स्टँडपर्यंत यायला वीस पंचवीस मिनिटे लागायची आमचा मोठा विरंगुळा होता तो 
2607, मराठी भाषा गौरव दिन यावर्षी हा गौरवदिन साजरा करतांना म्हणींना उत्सवमूर्ती बनविण्याचे ठरविले आहे भाषेच्या या वैशिष्ट्यांचं महत्त्व नव्या पिढीपर्यंत पोहोचावं हा यामागील उद्देश आहे   मराठी भाषा गौरवदिनाच्या सर्व मराठीभाषा प्रेमींना हार्दिक शुभेच्छा 
2608, दर्शवली पाहिजे त्याग आणि बलिदानाचे प्रतिक असलेल्या बकरी ईद च्या मनपूर्वक शुभेच्छा ईद उल अज़हा मुबारक 
2609, राज्यातील गरीब व गरजू जनतेला सवलतीच्या दरात शिवभोजन उपलब्ध करुन देण्याच्या योजनेचा शुभारंभ जानेवारी रोजी होणार अन्न नागरी पुरवठा व ग्राहक संरक्षण विभागाची आढावा बैठक आज मंत्रालयात आयोजित केली होती 
2610, नागरिक विद्यार्थी यांना न्याय्य हक्क मिळावा यासाठी धोरणे आखून त्याच्या यशस्वी अमलबजावणीचे काम पक्षाने समर्थपणे पार पाडले आहे भविष्याचा वेध घेऊन त्यानुसार अविरत वाटचाल करणारा ‘राष्ट्रवादी’ हा देशातील एकमेव पक्ष आहे राष्ट्रवादी कॉंग्रेस पार्टीच्या वर्धापनदिनाच्या हार्दिक शुभेच्छा 
2611, नाताळ हा ख्रिश्चन बांधवांचा वर्षातील सर्वात मोठा उत्सव आहे येशु ख्रिस्त एक महान व्यक्ति होते त्यांनी समाजाला प्रेमाची आणि मानवतेची शिकवण दिली येशुख्रिस्तांनी जगभरातील जनतेला प्रेमाने आणि सद्भावनेने राहण्याचा संदेश दिला नाताळ सणाच्या मनपूर्वक शुभेच्छा 
2612, वीरयोद्धा धर्मवीर छत्रपती संभाजी राजे यांना पुण्यतिथीनिमित्त कोटी कोटी अभिवादन 
2613, काँग्रेस स्थापना दिनानिमित्त हार्दिक शुभेच्छा 
2614, दुष्टप्रवृत्तींचा नाश करूया नवमहाराष्ट्राचे निर्माण करूया 
2615, तासगांवचाही महाजनादेश यंदा आम्हालाच महाजनादेशयात्रा 
2616, महात्मा गांधी यांनी स्वातंत्र्यलढा नैतिकतेने लढला अहिंसात्मक असहकार आंदोलनांनी गांधीजीनी भारताला स्वातंत्र्य मिळवून दिले अहिंसात्मक मार्गांनी स्वातंत्र्य मिळवण्यासाठी त्यानी संपूर्ण जगाला प्रेरित केले राष्ट्रपिता महात्मा गांधी यांना विनम्र अभिवादन 
2617, रासायनिक प्रक्रिया केल्यानंतरचे विठूराया चे लोभस रूप सुंदर ते ध्यान उभे विटेवरी कर कटावरी ठेवोनिया तुका म्हणे माझे हेची सर्व सुख पाहीन श्रीमुख आवडीने 
2618, गेली वर्ष मनसे स्वखर्चाने शिवाजी पार्क परिसर दिवाळीच्या कालावधीत विद्युत रोषणाईने सुशोभित करत आहे ह्यावर्षी भारतरत्न सचिन तेंडुलकरांच्या हस्ते रोषणाईला सुरुवात झाली तर उद्या नोव्हेंबरला मा आशा भोसले भेट देणार आहेत ह्या रोषणाईची चित्रफीत नक्की पहा राज ठाकरे ट्विटर टीम 
2619, काँग्रेसच्या हंगामी अध्यक्षपदी निवड झाल्याबद्दल मा सोनियाजी गांधी यांचे मनःपूर्वक अभिनंदन मध्ये अत्यंत खडतर परिस्थितीत अध्यक्ष पद स्वीकारून त्यांनी काँग्रेसला सावरले होते त्यांचे अनुभवी दूरदर्शी व कणखर नेतृत्व काँग्रेसला पुन्हा संजीवनी देईल याचा मला पूर्ण विश्वास आहे 
2620, माझ्या वाढदिवसानिमित्त आपण आवर्जून शुभेच्छा दिल्यात त्याबद्दल मी आपला अतिशय आभारी आहे दादा 
2621, भर पावसात लातूरकरांनी रस्त्यात ठिकठिकाणी केलेले स्वागत सभेलाही तितक्याच मोठ्या संख्येने उपस्थिती जणू पूर्ण दिवस वरूणराजा महाजनादेशयात्रा सोबत होते त्याच्या साक्षीने लातूरमधील प्रजेचे दर्शन घेऊन धन्य झालो 
2622, महाराष्ट्राचे लाडके दादा अजित पवार यांचाही वाढदिवस येत्या जुलै रोजी असतो त्यानिमित्ताने आजपासून आपल्या परळी नगरीत आधार महोत्सवाची सुरुवात झाली आहे आपल्याला हा कार्यक्रमही यशस्वी करत दादांचे अभिष्टचिंतन करायचे आहे 
2623, महाराष्ट्रातील पुरोगामी चळवळीचे विचारवंत व कम्युनिस्ट कामगार नेते काॅम्रेड गोविंद पानसरे यांना स्मृतिदिनी विनम्र अभिवादन 
2624, जळगावातील केळी उत्पादकांशी संवाद ट्रॅक्टरमुळे अनंत पाटील यांचे दिवसांचे काम दिवसांवर आले आणि शिवाय पैशांचीही बचत लोकसंवाद 
2625, पुणे जिल्ह्यातील कोविड व्यवस्थापन व नियोजना बाबत बैठक झाली  पुणे पिंपरी चिंचवड महानगरपालिका क्षेत्रासह ग्रामीण भागात कोरोना  रुग्णदर व मृत्यूदर नियंत्रणात आणण्यासाठी प्रभावी उपाययोजना कराव्यात कोरोनाच्या रुग्णांना खाटा अपुऱ्या पडणार नाहीत याची दक्षता घेण्याचे निर्देश दिले 
2626, शेतीतील नवनवे तंत्रज्ञान उत्पादनाची संधी उत्पादन वाढीसाठी लागणारी खते अवजारे बियाणे सेंद्रीय खते माहिती पुस्तके अशा प्रदर्शनातून शेतकऱ्यांना मिळते 
2627, नगर जिल्ह्यात बोधेगाव येथील श्रीमती भुसारे यांना भाऊ नसल्याने त्या दरवर्षी बाबाभाई पठाण यांना राखी बांधतात काल भुसारे कुटुंबीयांच्या दोन्ही मुलींच्या लग्नात बाबाभाई यांनी मामाचे विधी स्वहस्ते केले व भावाचे देखील कर्तव्य निभावले सामाजिक व धार्मिक सलोख्याचे एक सुंदर उदाहरण 
2628, लोकशाहीर अण्णाभाऊ साठेंच्या फकिरा कादंबरीचे इहवादी मूल्यमापन या ग्रंथात शालेय जीवनापासूनच जातीयतेचे चटके सहन केलेल्या अण्णाभाऊंच्या फकिरा कादंबरीचा उहापोह आहे बाबासाहेब आणि अण्णाभाऊंचे विचार पुढे जाणे गरजेचे आहे म्हणूनच हे ग्रंथ लिहिल्याबद्दल सबनीस यांचे आभार तसेच अभिनंदन 
2629, युवक काँग्रेसमधील माझे सहकारी व कामठी नागपुर नगरपरीषदेचे नगरसेवक निरज लोणारे यांना वाढदिवसाच्या शुभेच्छा 
2630, संकट संधी संवाद आणि सामर्थ्य मध्ये प्रकाशित लेख 
2631, भारतरत्न जे आर डी टाटा ह्यांनी विविध क्षेत्रात टाटा सन्स चा उद्योग विस्तारताना कामगारांसाठी ज्या कल्याणकारी योजना राबविल्या त्या योजना सरकारने सर्व उद्योग व्यवसायांसाठी कायदेशीर रित्या बंधनकारक केल्या अशा द्रष्ट्या उद्योगपतीस विनम्र अभिवादन 
2632, आमचे आराध्य दैवत छत्रपती शिवाजी महाराज यांच्या जयंतीनिमित्त शिवनेरीवर महाराजांना अभिवादन केले परंपरागत पद्धतीने होणाऱ्या पाळणा सोहळ्यात आज सहभागी झालो 
2633, सिन्नर मतदारसंघाचे आघाडीचे उमेदवार समीरभाऊ भुजबळ यांच्या प्रचारासाठी सिन्नर येथील अभूतपूर्व सभेस संबोधित केले नाशिकच्या विकासाचे योगदान हे आदरणीय छगन भुजबळ साहेब आणि समीरभाऊ यांना जाते हे विकासपर्व सुरू ठेवण्यासाठी समीरभाऊंना भरघोस मतांनी निवडून द्या 
2634, अहमदनगर शहर जिल्हा युवक काँग्रेसचे अध्यक्ष गौरवजी ढोणे यांना वाढदिवसाच्या हार्दिक शुभेच्छा 
2635, वर्षाचे सर्व विक्रम मोडीत काढीत स्वाभिमानीच्या ऊस परिषदेला उच्चांकी गर्दी 
2636, प्रधानमंत्री आवास योजनेत महाराष्ट्राची लक्षणीय कामगिरी दि जून 
2637, महाड येथील ऐतिहासिक चवदार तळे सत्याग्रह दिनी विषमता व अन्यायाविरुद्ध संघर्ष पुकारणारे महामानव भारतरत्न डॉ बाबासाहेब आंबेडकर यांना विनम्र अभिवादन 
2638, महाराष्ट्रात शांतता राहिली पाहिजे हिंसा व सार्वजनिक मालमत्तेचे नुकसान होऊ नये तसेच कोणत्याही समाजातील तरूणांनी आत्महत्येसारखे टोकाचे पाऊल उचलू नये असे आवाहन काँग्रेस पक्ष सातत्याने करत आला आहे आज पुन्हा एकदा लोकशाही मार्गानेच लढा द्यावा असे आवाहन सर्वांना करत आहोत‌ अशोक चव्हाण 
2639, चला देशाला आणखी पुढे नेण्याचा आपण सारे मिळून संकल्प करू या प्रजासत्ताक दिनाच्या हार्दिक शुभेच्छा प्रजासत्ताकदिवस 
2640, जगभरातल्या सर्वांसाठी आजचा दिवस महत्त्वाचा आहे जो जन्मला तो ग्राहक आहेच म्हणून इतर अनेक दिवसांसारखा हा कोण्या एका विशिष्ट जनसमुदायाला नव्हे तर तमाम जनतेला कवेत घेणारा दिवस आहे ग्राहक म्हणून आपले अधिकार आणि हक्क याबाबत जागरुक असणाऱ्या समस्त नागरिकांना मनःपूर्वक शुभेच्छा 
2641, थोर समाजसुधारक वंचित उपेक्षितांचा आवाज लोकशाहीर अण्णाभाऊ साठे यांना जन्मशताब्दी निमित्त कोटी कोटी अभिवादन 
2642, तमदलगे ता शिरोळ येथे नृसिंह जयंतिनिम्मीत्त नृसिंहाचे दर्शन घेतले 
2643, पक्षाची सत्ता असलेल्या आमच्या परळी नगरपरिषदेने स्वच्छ सर्वेक्षणात बाजी मारली स्वच्छ शहराचा पुरस्कार मिळवत मानाचा तुरा रोवलाय या कामगिरीबद्दल दिल्लीत मा राष्ट्रपती महोदय यांच्या उपस्थितीत नगरपरिषद अधिकारी व पदाधिकारी यांचा सत्कार करण्यात येणार आहे सर्वांचेच अभिनंदन 
2644, महाराष्ट्राचे माजी मुख्यमंत्री जलक्रांतीचे जनक डॉ शंकरराव चव्हाण सहकार महर्षी यशवंतराव मोहिते लोकनेते राजारामबापू पाटील आणि थोर विचारवंत डॉ रफिक झकेरिया यांच्या जन्मशताब्दी वर्षानिमित्त आज विधानमंडळात संस्मरण कार्यकर्तृत्वाचे हा विशेष कार्यक्रम आयोजित करण्यात आला 
2645, महाराष्ट्राचे वैभव विनोदवीर ख्यातनाम लेखक संपादक पु ल देशपांडे यांना स्मृतिदिनी विनम्र अभिवादन 
2646, पंतप्रधान मा नरेंद्र मोदीजींच्या नेतृत्त्वात रेल्वेच्या क्षेत्रात मोठे काम झाले मानवविरहित रेल्वेक्रॉसिंगच्या ठिकाणी सर्वाधिक कामे झाली 
2647, आरोग्य यंत्रणा स्थानिक प्रशासनही दक्ष आहे राज्याची यंत्रणा संपूर्ण तत्पर असून आवश्यकतेनुसार तत्काळ मदत उपलब्ध करण्याचं नियोजन झालं आहे या वादळाचा वेग आणि ताकद मोठी असल्यानं  नागरिकांनी सावध व सुरक्षित रहावं तसंच प्रशासनाच्या सुचनांचं पालन करावं असं आवाहन करतो 
2648, ला उस्मानाबादच्या किल्लारी गावात प्रलयकारी भूकंप आला साहेब घटनास्थळी स्वतः दाखल झाले सरकारी यंत्रणांना कामाला लावली मुंबईतल्या बॉम्ब हल्ल्यावेळीही मदतकार्य राबवलं पण मुख्यमंत्री मार्फत राज्यातल्या पुरस्थितीचा आढावा घेतात शिवस्वराज्ययात्रा 
2649, घटनाकार डॉ बाबासाहेब आंबेडकर यांच्या स्मारकाची उंची फुटांनी वाढवण्याचा निर्णय मंत्रिमंडळात घेण्यात आलाय यामध्ये शंभर फुटांचा चबुतरा राहणार असून पुतळा फुटांचा असेल पुरेसा निधी उपलब्ध करून दिला जाईल केंद्र राज्य सरकारकडून जवळपास सर्व मागण्या मंजूर झाल्यानं कामाला वेग येईल 
